,title,mp3_url,midi_url,metadata
2666,"
	 Trinidadeak ditu I         / Urtiak hil bi ditu      
	",https://bdb.bertsozale.eus/common/file/get/32182,https://bdb.bertsozale.eus/common/file/get/21379,"['Laukoa, txikiaren moldekoa, 2 puntuz (hg) / Bi puntukoa, txikiaren moldekoa (ip)', 'AB', '6/7']"
2667,"
	 Triste bizi naiz eta I         / Bihotz eritua      
	",https://bdb.bertsozale.eus/common/file/get/32784,https://bdb.bertsozale.eus/common/file/get/20665,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDB', '4/3/4/2']"
2668,"
	 Triste bizi naiz eta II         
	",https://bdb.bertsozale.eus/common/file/get/32819,https://bdb.bertsozale.eus/common/file/get/20668,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'AABA', '7/6']"
2669,"
	 Triste bizi naiz eta III         
	",https://bdb.bertsozale.eus/common/file/get/32858,https://bdb.bertsozale.eus/common/file/get/20671,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDE', '6/7']"
2670,"
	 Triste bizi naiz eta IV         
	",https://bdb.bertsozale.eus/common/file/get/30783,https://bdb.bertsozale.eus/common/file/get/25780,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABA2D', '13']"
2671,"
	 Triste gaudenon kontsueloa         
	",https://bdb.bertsozale.eus/common/file/get/31393,https://bdb.bertsozale.eus/common/file/get/26587,"['Zortziko handia (hg) / Lau puntuko handia (ip)', 'ABD1D2', '10/8']"
2672,"
	 Triste nago ni eta         
	",https://bdb.bertsozale.eus/common/file/get/30817,https://bdb.bertsozale.eus/common/file/get/25783,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'AABA2', '7/6']"
2673,"
	 Tristerik nintzen tristerik         
	",https://bdb.bertsozale.eus/common/file/get/31425,https://bdb.bertsozale.eus/common/file/get/24451,"['Zortzikoa, berdinaren moldekoa, 6 puntuz (hg) / Sei puntukoa, berdinaren moldekoa (ip)', 'ABDE...', '8/8/16/8/']"
2674,"
	 Tristetasun haundi bat         
	",https://bdb.bertsozale.eus/common/file/get/33518,https://bdb.bertsozale.eus/common/file/get/25027,"['Hamarrekoa, txikiaren moldekoa, 6 puntuz (hg) / Sei puntukoa, txikiaren moldekoa (ip)', 'abde...', '7/6/6/7/6']"
2675,"
	 Trumoia ortzi beltzean hoska         
	",https://bdb.bertsozale.eus/common/file/get/31798,https://bdb.bertsozale.eus/common/file/get/25249,"['Bederatzikoa, handiaren moldekoa, 6 puntuz (hg) / Sei puntukoa, handiaren moldekoa (ip)', 'ABDE....', '10/10/18/']"
2676,,,,[]
2677,"
	 Ttun kurrun kuttun kuttun         
	",https://bdb.bertsozale.eus/common/file/get/32219,https://bdb.bertsozale.eus/common/file/get/21382,"['Laukoa, txikiaren moldekoa, 2 puntuz (hg) / Bi puntukoa, txikiaren moldekoa (ip)', 'AB', '8/6']"
2678,"
	 Txabalategi eta         / Hiru juenez erabakia      
	",https://bdb.bertsozale.eus/common/file/get/32896,https://bdb.bertsozale.eus/common/file/get/20674,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'A1A2BA2', '7/6']"
2679,"
	 Txakolina ta betiko ura         
	",https://bdb.bertsozale.eus/common/file/get/32579,https://bdb.bertsozale.eus/common/file/get/26644,"['Hamarreko handia (hg) / Bost puntuko handia (ip)', 'ABDEF', '5/5/4/4']"
2680,"
	 Txakur eta gatia         
	",https://bdb.bertsozale.eus/common/file/get/32933,https://bdb.bertsozale.eus/common/file/get/20677,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'AABA', '7/6']"
2681,,,,[]
2682,"
	 Txakur gorri polit bat A         
	",https://bdb.bertsozale.eus/common/file/get/33006,https://bdb.bertsozale.eus/common/file/get/20680,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABAB', '7/6']"
2683,"
	 Txakur gorri polit bat B         
	",https://bdb.bertsozale.eus/common/file/get/32120,https://bdb.bertsozale.eus/common/file/get/27202,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDB', '7/6']"
2684,"
	 Txakur txiki gorritxo bat I-A         
	",https://bdb.bertsozale.eus/common/file/get/33042,https://bdb.bertsozale.eus/common/file/get/20683,"['Zortzikoa, txikiaren modekoa, 4 puntuz (hg) / Lau puntukoa, txikiaren modekoa (ip)', 'A1A2BA2', '13']"
2685,,,,[]
2686,"
	 Txakur txiki gorritxo bat I-B         / Bordeletik joan ginen         / Libertzio egoki bat   
	",https://bdb.bertsozale.eus/common/file/get/33075,https://bdb.bertsozale.eus/common/file/get/20686,"['Zortzikoa, txikiaren modekoa, 4 puntuz (hg) / Lau puntukoa, txikiaren modekoa (ip)', 'A1A2BA2', '13']"
