title,mp3_url,midi_url,Mota,Errima,Silabak
"
	 Gernikako arbola         
	",https://bdb.bertsozale.eus/common/file/get/30782,https://bdb.bertsozale.eus/common/file/get/19612,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDEF, '7/6'
"
	 Gertu herritik eta         
	",https://bdb.bertsozale.eus/common/file/get/32753,https://bdb.bertsozale.eus/common/file/get/25543,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gitarra zahartxo bat det         / Kantari euskalduna      
	",https://bdb.bertsozale.eus/common/file/get/31360,https://bdb.bertsozale.eus/common/file/get/19624,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Goazen goazen mutilak         
	",https://bdb.bertsozale.eus/common/file/get/31644,https://bdb.bertsozale.eus/common/file/get/19645,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Goiko mendietatik         
	",https://bdb.bertsozale.eus/common/file/get/31792,https://bdb.bertsozale.eus/common/file/get/19657,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gorritira bidean         
	",https://bdb.bertsozale.eus/common/file/get/32904,https://bdb.bertsozale.eus/common/file/get/25555,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gu gazte ginadela         / Txuriko      
	",https://bdb.bertsozale.eus/common/file/get/32357,https://bdb.bertsozale.eus/common/file/get/19699,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Guraso ta anaiak         / Terzioen etorrera II       
	",https://bdb.bertsozale.eus/common/file/get/32471,https://bdb.bertsozale.eus/common/file/get/19705,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Guraso ta semiak         
	",https://bdb.bertsozale.eus/common/file/get/32509,https://bdb.bertsozale.eus/common/file/get/19708,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gure bihotza egun         
	",https://bdb.bertsozale.eus/common/file/get/32544,https://bdb.bertsozale.eus/common/file/get/19711,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Gure herritik gatoz         
	",https://bdb.bertsozale.eus/common/file/get/32693,https://bdb.bertsozale.eus/common/file/get/19723,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDEF, '7/6'
"
	 Gurutzean hilgarri         
	",https://bdb.bertsozale.eus/common/file/get/32878,https://bdb.bertsozale.eus/common/file/get/19735,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
